SITE,PLOT,SUB,TAG,TREEID,NUM,SPP,X,Y,DATE11,DBH11,DBH12,DATE_CORE_COLLECTED11,DATE12,DATE_CORE_COLLECT12,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
H,6,B,1557,H6B1557,1,ACRU,7.8,1.1,7/10/11,467,462,7/10/11,7/2/12,7/2/12,5.108,4.7,5.54,2.862,2.396,3.358,4.358,4.528,3.786,3.134,2.724,3.162,2.36,2.204,2.184,1.9,1.21,0.866,0.926,0.538,0.63,0.7,1.07,0.706,1.422,0.87,0.798,0.72,0.466,0.324
H,6,C,1565,H6C1565,1,BEAL2,12.5,10.7,7/10/11,284.5,287.5,7/10/11,7/2/12,7/2/12,NA,NA,4.27,5.352,7.824,7.554,4.578,4.144,2.766,5.752,4.738,3.39,4.37,4.096,2.516,4.668,4.98,4.158,4.226,4.366,2.336,1.304,1.966,2.668,4.302,3.95,2.604,5.058,3.874,4.182
H,6,C,1566,H6C1566,1,ACRU,14.5,13.9,7/10/11,183,186,7/10/11,7/2/12,7/2/12,2.162,1.476,1.664,1.732,1.872,2.062,1.602,2.292,1.412,1.482,1.58,1.256,0.954,0.77,0.49,0.518,1.172,0.594,0.558,0.738,1.17,0.54,0.626,0.434,0.442,0.898,0.878,0.986,1.352,1.302
H,6,C,1567,H6C1567,1,QURU,13.7,13.6,7/10/11,365,320,7/10/11,7/2/12,7/2/12,5.204,3.422,3.338,5.442,3.74,5.534,5.168,5.082,3.848,3.01,3.046,3.606,4.284,3.542,2.722,3.44,4.566,3.378,3.264,5.156,4.388,3.948,4.73,4.578,4.57,5.572,5.808,5.204,3.806,4.126
H,6,C,1570,H6C1570,1,BEAL2,11,12.4,7/10/11,195.8,197,7/10/11,7/2/12,7/2/12,2.54,4.19,3.618,4.12,5.292,6.514,6.71,5.35,4.812,4.174,3.59,5.17,7.522,7.722,8.31,5.386,10.336,1.33,2.782,4.888,2.274,3.17,3.086,6.79,5.376,2.218,3.044,3.62,3.894,2.602
H,6,C,1572,H6C1572,1,ACRU,7.5,14.5,7/10/11,172,175,7/10/11,7/2/12,7/2/12,3.872,3.886,3.676,2.394,1.114,0.916,2.656,2.57,1.238,0.92,1.65,2.554,1.9,1.986,1.65,1.142,1.362,0.984,1.236,0.984,1.714,0.856,0.602,0.73,0.794,0.38,0.634,0.636,1.618,1.746
H,6,C,1575,H6C1575,1,BEAL2,2.6,12.2,7/10/11,174.5,174,NA,7/2/12,7/2/12,3.734,1.316,2.718,2.108,1.534,2.664,2.288,1.752,2.206,1.964,3.316,1.754,2.676,1.964,2.02,1.532,1.816,1.738,0.938,0.928,1.148,2.218,1.552,5.162,1.098,0.876,1.206,1.342,1.92,2.278
H,6,C,1576,H6C1576,1,BEAL2,1,8.3,7/10/11,485,482,7/10/11,7/2/12,7/2/12,5.612,8.632,4.728,3.772,4.632,2.596,3.776,3.74,4.342,4.532,4.714,3.77,4.748,3.942,3.274,5.042,3.01,2.27,6.606,1.926,1.83,1.08,1.772,1.012,0.92,0.734,0.948,2.062,1.42,1.322
H,6,C,1577,H6C1577,1,QURU,4,7.9,7/10/11,390,394,7/10/11,7/2/12,7/2/12,2.6,2.988,4.968,3.362,4.822,5.444,5.036,3.652,4.294,4.086,4.93,4.574,3.546,3.96,4.252,5.154,3.226,4.124,5.336,5.008,3.446,3.982,3.806,4.452,4.77,5.682,3.824,5.104,4.69,3.09
H,6,D,1614,H6D1614,1,BEAL2,8.8,3.2,7/10/11,204.5,207,7/10/11,7/2/12,7/2/12,2.432,2.182,2.22,2.298,2.538,3.724,5.33,1.034,5.1,2.942,5.88,3.836,3.37,3.978,3.846,3.49,2.006,4.888,2.136,2.538,2.52,3.066,2.408,4.126,4.082,3.332,3.06,4.548,3.246,3.766
H,6,D,1616,H6D1616,1,BEPA,13.8,1.8,7/10/11,254,253,7/10/11,7/2/12,7/2/12,2.554,6.474,8.718,11.658,9.566,6.68,8.402,6.594,6.722,4.788,2.1,1.954,4.16,5.024,4.566,2.77,1.816,5.246,4.992,7.89,3.658,4.692,4.346,4.812,7.526,3.874,1.682,2.272,4.478,2.75
H,6,D,1619,H6D1619,1,BEAL2,13,10.1,7/10/11,153,155,NA,7/1/12,7/1/12,1.712,1.554,1.366,1.362,1.142,1.46,3.038,2.19,2.156,2.028,1.776,1.802,2.7,2.562,2.078,2.324,1.896,1.7,1.014,1.426,0.79,2.628,0.922,3.46,2.22,2.22,2.952,3.172,2.092,1.03
H,6,D,1620,H6D1620,1,PIST,11.4,9.2,7/10/11,491,497,7/10/11,7/1/12,7/1/12,1.292,2.258,3.504,4.564,5.736,4.86,6.19,6.396,7.292,9.016,6.668,6.466,7.016,5.468,5.618,4.992,3.874,5.308,7.394,7.444,5.552,4.39,5.868,4.56,5.236,7.14,6.012,4.462,4.642,5.738
H,6,D,1622,H6D1622,1,PIST,5.3,12.2,7/9/11,555.5,558,7/9/11,7/1/12,7/1/12,0.692,1.396,2.788,3.744,1.268,0.96,1.324,1.142,1.638,1.272,0.576,0.622,0.95,0.89,2.404,3.432,4.498,3.358,6.222,8.11,8.308,3.62,1.202,1.334,1.46,2.346,1.906,1.396,1.202,1.716
H,6,D,1623,H6D1623,1,BEAL2,2.5,9.9,7/9/11,156,158,7/9/11,7/1/12,7/1/12,1.78,1.684,2.592,3.244,2.886,2.88,1.774,2.442,2.622,2.452,2.88,1.646,1.52,1.272,1.236,2.026,1.612,2.042,1.294,1.778,1.906,2.416,5.252,3.312,2.352,2.55,4.09,2.302,1.784,2.046
H,1,A,1636,H1A1636,1,BELE,4.8,0.5,7/9/11,223,226,7/9/11,7/5/12,7/5/12,4.042,3.832,4.022,4.182,3.142,3.868,4.23,2.968,3.426,2.034,1.496,1.388,1.368,1.078,1.612,1.936,1.316,0.932,1.044,1.846,1.612,1.26,2.284,2.384,1.748,2.544,1.96,3.05,1.962,1.276
H,1,A,1637,H1A1637,1,BEPA,1.1,4.8,7/9/11,173,173,7/9/11,7/5/12,7/5/12,4.372,3.638,5.66,2.978,2.318,3.934,5.576,5.998,5.998,4.252,4.474,5.546,3.744,3.396,4.442,4.592,2.93,4.728,2.816,3.834,2.538,1.586,0.666,0.604,1.996,1.078,1.364,2.222,0.828,0.696
H,1,A,1640,H1A1640,1,ACRU,9.4,1.7,7/9/11,162,165,7/9/11,7/5/12,7/5/12,4.534,3.586,3.994,3.292,5.554,5.292,4.37,5.272,3.182,3.898,4.654,4.492,4.458,3.23,4.058,2.836,3.21,0.942,2.07,2.902,2.22,1.54,2.884,3.242,1.928,2.698,3.328,2.596,2.16,1.97
H,1,A,1644,H1A1644,1,BEAL2,14.5,5.5,7/9/11,180,183,7/9/11,7/5/12,7/5/12,7.004,3.72,4.432,4.344,6.348,3.714,2.332,3.258,3.714,3.808,4.03,1.078,2.57,2.982,2.944,3.82,3.166,4.242,3.132,3.254,2.212,3.578,1.65,2.982,2.348,2.95,3.106,2.54,2.156,2.378
H,1,A,1647,H1A1647,1,ACRU,7.8,7.4,7/9/11,162,163,7/9/11,7/5/12,NA,3.58,2.386,3.224,2.968,4.346,3.572,2.456,4.158,2.634,2.352,3.198,2.664,3.622,2.254,2.968,2.018,1.646,0.952,2.484,2.314,2.326,0.702,0.734,0.624,0.388,2.392,1.966,2.936,2.288,2.878
H,1,A,1648,H1A1648,1,ACRU,7.4,7.5,7/9/11,150,150,NA,7/5/12,NA,3.552,1.222,2.122,3.248,2.934,3.222,3.118,4.996,2.668,1.57,2.094,2.1,1.302,0.912,1.564,1.112,1.324,0.546,0.886,1.798,1.142,0.63,0.958,1.168,0.852,2.23,2.654,2.306,1.408,1.662
H,1,A,1656,H1A1656,1,QURU,2.3,11.5,7/9/11,588,590,7/9/11,7/5/12,7/5/12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.504,5.822,4.952,4.63,4.058,5.484,6.782,8.062,5.84,7.864,7.358,8.054,9.648,12.496,8.922,5.674,3.298
H,1,B,1688,H1B1688,1,BEUN,2.1,0.2,7/9/11,330,336,7/9/11,7/5/12,7/5/12,3.446,1.774,3.348,2.77,2.398,3.712,2.7,4.43,3.354,3.68,1.904,2.918,4.53,2.132,3.758,4.718,3.952,3.686,5.246,3.148,5.586,6.66,3.714,9.388,7.372,8.344,3.87,3.066,6.284,3.204
H,1,B,1689,H1B1689,1,TSCA,5.5,3,7/9/11,232,240,7/9/11,7/5/12,7/5/12,1.702,2.718,3.002,2.75,1.832,1.876,1.99,1.718,1.692,3.608,1.914,2.292,4.926,4.604,5.998,5.494,4.374,4.11,3.502,3.704,3.452,3.452,4.056,3.044,3.674,4.408,3.194,1.966,4.294,2.598
H,1,B,1693,H1B1693,1,TSCA,5.5,7.4,7/9/11,147,153.5,NA,7/5/12,7/5/12,1.012,1.806,1.516,1.328,1.076,1.518,1.584,1.902,1.956,1.798,1.736,1.35,1.042,1.174,1.62,1.492,1.078,1.08,1.458,1.012,1.808,0.984,1.012,1.012,1.016,1.546,1.862,3.014,4.022,3.988
H,1,B,1697,H1B1697,1,FAGR,10,7.2,7/9/11,278,279,7/9/11,7/5/12,7/5/12,1.414,0.894,0.67,1.742,1.238,1.68,2.442,3.966,2.086,4.128,3.576,2.912,4.6,3.772,3.506,3.652,2.63,3.492,2.602,2.86,3.432,2.316,2.316,1.81,3.202,2.948,2.506,2.598,2.974,1.97
H,1,B,1700,H1B1700,1,FAGR,14,11.7,7/9/11,358,361,7/9/11,7/5/12,7/5/12,1.098,2.032,1.948,1.806,1.802,1.488,1.682,1.52,2.142,2.216,1.91,2.174,1.818,2.026,1.694,2.05,2.566,2.85,2.856,2.394,3.036,1.54,2.116,2.602,2.364,2.526,2.86,3.32,5.02,3.914
H,1,B,1701,H1B1701,1,FAGR,11.2,13.6,7/9/11,318,325,7/9/11,7/5/12,7/5/12,1.2,3.426,3.636,4.01,3.202,1.814,3.522,3.37,2.86,1.18,4.434,3.172,4.372,3.808,3.236,4.508,3.778,3.65,2.824,3.996,2.986,4.024,2.598,2.54,3.588,3.072,3.554,3.518,2.436,2.06
H,1,B,1703,H1B1703,1,BEPA,0.4,14.7,7/9/11,305,308,7/9/11,7/5/12,7/5/12,1.434,1.53,1.04,1.972,1.284,0.858,1.45,2.67,1.402,0.724,0.774,1.134,0.568,0.548,0.618,1.472,0.694,1.078,1.288,0.838,0.834,2.854,1.932,1.216,0.798,1.36,1.698,1.43,1.784,0.57
H,1,B,1704,H1B1704,1,BEAL2,2,10,7/9/11,229,235,7/9/11,7/5/12,7/5/12,1.078,1.024,0.818,0.952,2.614,1.092,1.096,0.814,0.59,1.084,1.308,1.186,0.804,0.636,0.99,1.482,0.602,1.034,1.116,1.328,3.094,1.076,1.888,2.99,0.59,0.718,1.332,0.85,1.524,1.368
H,1,B,1705,H1B1705,1,TSCA,4,9.7,7/9/11,178,187.5,7/9/11,7/5/12,7/5/12,1.164,1.798,2.306,2.188,1.81,1.7,2.286,2.512,2.352,2.194,1.904,1.668,2.38,2.684,2.418,1.924,1.862,1.972,2.91,1.22,2.244,1.232,0.862,1.538,1.854,2.152,2.762,4.224,4.884,5.344
H,1,D,1734,H1D1734,1,QURU,0.3,3.75,7/9/11,174,174.5,7/9/11,7/5/12,7/5/12,2.272,1.64,2.282,2.998,3.046,3.304,3.244,2.89,2.798,2.728,2.792,2.412,3.024,2.344,2.612,2.274,2.484,1.776,1.768,1.908,1.274,1.144,1.4,1.194,0.95,1.172,1.004,1.216,1.074,1.014
H,1,D,1737,H1D1737,1,QURU,7.6,1,7/9/11,275,277,7/9/11,7/5/12,7/5/12,3.3,2.528,3.844,4.082,5.04,5.724,5.364,5.138,3.366,3.352,2.842,3.482,3.874,3.56,4.384,3.806,4.242,3.432,2.902,3.672,3.232,2.67,3.114,2.53,2.34,3.218,3.26,3.234,2.204,1.578
H,1,D,1739,H1D1739,1,TIAM,8.5,7,7/9/11,214,215,7/9/11,7/5/12,7/5/12,1.8,4.688,3.296,2.798,1.448,3.28,3,3.544,3.438,1.696,3.028,2.582,2.886,2.372,2.694,1.584,2.11,2.21,1.588,2.818,1.938,1.934,1.544,1.268,2.124,1.362,1.556,2.18,2.158,1.934
H,1,D,1743,H1D1743,1,QURU,13.9,10.2,7/9/11,264,264,7/9/11,7/5/12,7/5/12,4.44,4.832,3.796,5.268,4.964,4.932,3.988,5.066,3.298,3.422,2.658,3.626,4.322,3.738,4.26,4.022,5.376,3.292,3.604,5.566,4.792,3.968,4.912,4.272,3.636,4.384,5.202,5.854,4.546,2.37
H,1,D,1748,H1D1748,1,QURU,11.8,14.6,7/9/11,171,172,7/9/11,7/5/12,7/5/12,2.714,2.07,2.384,2.704,2.582,3.064,2.526,2.35,2.234,2.274,1.986,2.306,3.03,2.664,1.574,1.794,1.61,1.41,1.344,1.706,2.112,1.55,1.86,1.838,1.096,1.476,1.786,1.208,0.894,0.588
H,1,D,1749,H1D1749,1,QURU,9.4,14,7/9/11,193,194.5,7/9/11,7/5/12,7/5/12,1.55,1.426,1.838,2.274,2.338,2.884,2.646,2.676,1.768,1.902,1.804,2.232,3.072,2.722,2.438,2.11,2.264,1.76,2.122,2.896,3.178,2.39,3.456,3.362,3.332,3.746,3.238,2.926,2.796,1.648
H,1,D,1750,H1D1750,1,TIAM,8.3,13,7/9/11,227,227,7/9/11,7/5/12,7/5/12,2.126,2.666,1.936,1.206,3.9,3.3,2.276,2.94,3.292,3.602,3.062,3.992,2.848,2.44,2.69,0.92,1.14,1.524,0.826,2.76,1.588,1.206,1.932,1.324,1.228,1.572,1.666,1.004,1.482,1.586
H,1,D,1751,H1D1751,1,TIAM,6.4,12,7/9/11,233,236,7/9/11,7/5/12,7/5/12,4.466,6.546,4.548,5.85,2.36,4.022,3.568,2.846,4.872,5.286,2.868,2.274,1.364,1.27,1.78,4.126,4.12,4.094,2.318,3.49,5.866,5.512,2.626,4.464,5.328,2.214,2.094,1.586,3.046,3.046
H,1,D,1754,H1D1754,1,QURU,1.5,14.8,7/9/11,184.5,184,7/9/11,7/5/12,7/5/12,1.762,1.486,2.328,2.766,2.552,1.35,3.268,2.554,2.516,2.052,2.198,2.142,2.366,2.328,2.872,2.09,2.204,1.134,2.6,2.666,1.79,2.486,1.97,1.548,2.27,2.534,2.404,2.712,2.302,1.838
H,1,D,1760,H1D1760,1,TIAM,4.5,9.7,7/9/11,250,251,7/9/11,7/5/12,7/5/12,2.062,1.386,1.668,2.62,1.958,1.846,1.628,2.58,2.784,3.584,3.232,3.694,2.292,2.256,2.924,3.116,2.372,2.004,1.598,3.33,2.106,2.144,4.454,3.732,6.444,5.888,4.816,2.168,1.296,1.066
H,1,D,1761,H1D1761,1,TIAM,4.8,9.1,7/9/11,193,195,7/9/11,7/5/12,7/5/12,5.442,8.568,9.826,8.606,8.04,5.43,5.48,5.918,10.22,4.126,3.124,1.128,2.298,7.342,1.982,1.256,1.562,0.776,1.146,2.238,2.704,5.648,1.51,0.74,1.352,0.752,2.924,3.68,3.94,1.382
H,7,C,5433,H7C5433,1,PIST,0.8,4.1,,NA,165,,7/1/12,7/1/12,6.582,4.118,3.916,3.744,4.32,4.178,2.862,4.312,1.21,1.518,2.158,2.34,2.072,1.848,1.964,2.336,2.594,1.952,2.442,2.406,1.966,2.734,4.178,3.748,3.25,1.648,2.6,2.6,4.688,2.722
H,7,C,5438,H7C5438,1,TSCA,6,3.2,,NA,243,,7/1/12,7/1/12,3.02,5.584,4.67,4.47,4.416,3.99,4.826,3.474,4.346,4.538,3.694,2.828,3.378,2.9,4.038,4.118,3.9,3.644,4.33,4.502,4.774,3.342,4.05,3.998,4.762,3.724,3.846,3.04,5.07,3.346
H,7,C,5451,H7C5451,1,BEAL2,3.5,12.1,,NA,208,,7/1/12,7/1/12,4.402,1.628,3.826,3.714,2.47,2.648,2.268,3.238,2.664,3.488,3.232,2.66,3.116,2.218,3.234,2.662,4.052,1.83,5.028,1.33,3.42,2.406,2.024,2.16,2.226,2.322,2.472,1.718,1.392,2.084
H,7,C,5452,H7C5452,1,PIST,3.9,14.8,,NA,359,,7/1/12,7/1/12,1.806,2.732,3.386,4.402,5.732,5.028,4.818,3.606,2.182,3.598,4.876,4.028,3.494,3.294,3.82,3.332,4.956,2.852,3.816,4.69,4.386,3.486,3.616,4.702,4.196,5.378,5.048,3.986,3.388,2.97
H,7,C,5455,H7C5455,1,ACRU,8.3,11.4,,NA,188,,7/1/12,7/1/12,2.178,1.446,1.572,1.614,1.826,1.726,1.79,1.84,1.656,2.224,2.796,1.512,1.838,1.708,1.614,1.938,2.23,0.7,1.41,2.132,0.964,1.424,1.436,1.154,0.766,1.714,1.388,1.444,1.61,1.128
H,7,C,5458,H7C5458,1,TSCA,12.8,14.6,,NA,221,,7/1/12,7/1/12,4.498,6.92,6.362,6.03,5.746,5.392,5.944,5.132,5.674,5.276,4.686,4.77,6.228,6.41,5.034,5.404,5.782,4.042,5.962,5.09,5.436,6.03,5.77,5.624,5.782,4.508,4.756,5.306,6.472,4.942
